Date,Predicted_Mean,CI_Lower_95,CI_Upper_95
2025-08-11,325.0718,322.57224,327.82568
2025-08-12,328.2098,325.1753,331.0792
2025-08-13,331.85098,328.70636,334.61194
2025-08-14,334.9416,331.60498,338.6095
2025-08-15,338.82935,334.87827,342.5396
2025-08-18,342.57962,339.2196,346.40732
2025-08-19,346.32336,342.22388,350.39496
2025-08-20,350.3205,346.21048,355.0033
2025-08-21,354.5553,349.86023,359.1425
2025-08-22,358.4562,355.03442,363.1206
2025-08-25,362.83197,358.76984,367.01996
2025-08-26,367.28506,363.1905,371.61942
2025-08-27,371.54504,366.09564,376.83267
2025-08-28,375.7752,370.39697,380.61816
2025-08-29,380.4248,375.33136,385.3987
2025-09-01,384.51358,379.05896,390.81665
2025-09-02,389.152,383.9007,395.90106
2025-09-03,393.9183,387.30716,400.80518
2025-09-04,398.1556,391.97522,403.94125
2025-09-05,402.30954,395.75433,408.84155
2025-09-08,406.8755,400.58212,412.47644
2025-09-09,411.18634,404.8588,417.93573
2025-09-10,415.4818,409.44342,422.4968
2025-09-11,419.8425,413.30222,426.06082
2025-09-12,424.14655,417.8442,430.69043
2025-09-15,428.1854,421.43677,434.48154
2025-09-16,432.46387,425.44983,438.68332
2025-09-17,436.35468,428.87958,442.7129
2025-09-18,440.52618,433.68948,448.26617
2025-09-19,444.2405,436.2822,451.14236
2025-09-22,448.13553,440.39365,455.15625
2025-09-23,451.7478,444.09772,459.0076
2025-09-24,455.63297,446.2663,463.8646
2025-09-25,459.6466,450.47342,467.20438
2025-09-26,462.60324,455.14392,469.30518
2025-09-29,466.4178,458.75027,473.45517
2025-09-30,469.83234,460.16565,476.48572
2025-10-01,472.96774,464.58237,480.31024
2025-10-02,476.20917,467.21494,483.31567
2025-10-03,479.64264,469.6326,485.52573
2025-10-06,482.85486,474.34604,490.93796
2025-10-07,485.6356,478.13867,491.8141
2025-10-08,488.76132,478.5299,495.98392
2025-10-09,491.2877,481.65472,498.5296
2025-10-10,494.41174,484.63867,501.79968
2025-10-13,497.08258,487.60065,504.14474
2025-10-14,499.69092,491.67392,507.9045
2025-10-15,502.33545,494.1476,508.93695
2025-10-16,505.25293,495.82208,512.6702
2025-10-17,507.63672,499.2723,514.86694
2025-10-20,510.07135,500.53232,518.2705
2025-10-21,512.6713,504.6738,520.47034
2025-10-22,515.2686,506.25705,523.20685
2025-10-23,517.7608,509.2186,524.8583
2025-10-24,519.8422,511.79758,526.8396
2025-10-27,522.2363,513.65924,529.41064
2025-10-28,524.5102,516.6222,533.0913
2025-10-29,527.067,519.8568,534.96594
2025-10-30,529.3722,522.4318,537.9931
2025-10-31,531.5563,523.5447,539.13116
2025-11-03,533.8661,526.0612,541.4128
2025-11-04,536.01105,527.26917,543.65173
2025-11-05,538.31946,530.72766,546.43097
2025-11-06,540.28613,533.1654,547.7631
2025-11-07,542.637,535.67645,550.3209
2025-11-10,544.636,535.0874,551.17334
2025-11-11,546.8557,539.2032,555.3162
2025-11-12,548.96234,541.24084,557.7595
2025-11-13,550.6447,542.46344,559.9253
2025-11-14,553.12744,544.28015,562.37946
2025-11-17,555.08997,546.9269,564.51086
2025-11-18,557.2615,548.0709,565.02124
2025-11-19,559.2939,550.1535,569.0192
2025-11-20,561.0002,552.8947,569.8367
2025-11-21,563.5872,554.57385,572.2699
2025-11-24,565.3966,558.81,574.2065
2025-11-25,567.64746,559.73596,576.76184
2025-11-26,569.252,559.0756,579.1032
2025-11-27,571.2552,562.8389,579.53754
2025-11-28,573.33734,564.4628,583.46387
2025-12-01,575.2049,566.9107,585.0509
2025-12-02,576.8442,568.42914,587.31067
2025-12-03,579.44763,570.8976,588.7498
2025-12-04,581.32556,571.1856,589.83704
2025-12-05,582.92096,574.2052,591.94836
2025-12-08,585.1094,575.9024,594.66284
2025-12-09,586.98944,578.5418,595.46326
2025-12-10,588.92053,581.5625,600.0575
2025-12-11,590.91046,582.36456,599.5316
2025-12-12,593.1034,584.1996,603.62195
2025-12-15,595.0205,585.0457,605.3012
2025-12-16,596.8309,588.0895,606.8175
2025-12-17,598.53406,589.8393,607.98004
2025-12-18,600.82764,591.5618,611.5526
2025-12-19,602.67474,594.1695,613.27435
2025-12-22,604.8293,595.39044,614.0752
2025-12-23,606.7815,597.25964,616.7268
2025-12-24,608.7326,599.9154,619.8689
2025-12-25,610.30524,602.3887,621.0123
2025-12-26,612.5554,602.8199,622.8516
2025-12-29,614.25433,604.80585,625.03326
2025-12-30,616.43085,606.6368,627.9284
2025-12-31,618.1566,608.5364,629.94464
2026-01-01,619.9761,609.3739,629.4539
2026-01-02,622.28925,612.4522,633.2241
2026-01-05,624.0566,614.81726,634.5144
2026-01-06,626.1032,616.8444,636.3984
2026-01-07,627.66125,618.6793,637.53564
2026-01-08,630.0269,619.38885,640.4898
2026-01-09,631.74084,620.86554,641.98834
2026-01-12,633.9993,623.8272,643.83734
2026-01-13,635.7326,625.56006,645.53906
2026-01-14,637.8444,627.493,647.13434
2026-01-15,639.9323,629.5173,650.13824
2026-01-16,641.48267,632.3766,651.4151
2026-01-19,643.846,632.97754,653.3951
2026-01-20,645.44025,634.7969,655.3247
2026-01-21,647.6763,636.9506,659.1593
2026-01-22,649.6403,638.02936,659.5012
2026-01-23,651.4816,640.96106,661.4751
2026-01-26,653.6865,643.691,663.88556
2026-01-27,655.2936,645.1918,666.30176
2026-01-28,657.69543,646.5059,668.0184
2026-01-29,659.26556,647.7601,669.44916
2026-01-30,661.49976,650.5642,671.6176
2026-02-02,663.3882,652.9252,674.23755
